id,overall_worklogs
675975,17134
675972,17134
675965,17134
675961,11692
675955,30206
675952,11692
675949,17134
675938,17134
675921,17134
675919,17134
675917,11692
675915,11692
675912,11692
675910,17134
675909,11692
675906,11692
675892,64703
675887,66322
675878,17134
675873,11692
675861,30206
675857,17134
675853,17134
675850,17134
675849,17134
675847,17134
675845,17134
675843,17134
675841,17134
675838,17134
675836,17134
675834,17134
675831,17134
675825,17134
721916,17134
721915,2044
721914,17134
721913,11692
721912,11692
721911,2044
721910,11692
721909,11692
721908,11692
721907,2044
721906,17134
721905,17134
721904,17134
721903,17134
721902,3681
721901,11692
721899,17134
721898,11692
721897,17134
721896,17134
721895,17134
721894,11692
721893,25206
721892,17134
721890,17134
721889,17134
721888,17134
721885,5376
721884,2044
721883,871
721882,7031
721881,17134
721877,11692
721876,11692
721875,17134
721874,17134
721873,17134
721872,17134
721871,11692
721869,3681
721868,17134
721867,11692
721865,11692
721864,17134
721862,3681
721861,17134
721860,2044
721859,17134
721858,11692
721857,871
721856,30206
721855,11692
721851,5376
721850,11692
721849,11692
721848,17134
721846,17134
721845,17134
721844,17134
721843,11692
721842,17134
721841,17134
721839,17134
721838,11692
721837,17134
721836,11692
721835,17134
721834,17134
721833,871
721832,17134
721831,11692
721830,17134
721827,17134
721824,17134
721822,11692
721821,11692
721820,5376
721818,17134
721817,17134
721816,17134
721814,17134
721809,3681
721807,2044
721806,2044
721805,11692
721804,11692
721803,54893
721802,11692
721801,11692
721800,17134
721799,17134
721798,17134
721797,17134
721796,17134
721795,17134
721794,17134
721792,3681
721791,871
721790,871
721787,11692
721786,2044
721785,17134
721784,2044
721783,7031
721782,11692
721780,2044
721779,3681
721778,7031
721777,17134
721776,11692
721775,2044
721774,11692
721773,17134
721772,17134
721771,7031
721770,3681
721769,3681
721768,17134
721767,17134
721766,17134
721765,17134
721763,30206
721762,17134
721761,17134
721760,17134
721759,17134
721758,11692
721757,17134
721755,17134
721754,11692
721751,11692
721750,17134
721749,17134
721748,17134
721747,11692
721746,17134
721745,17134
721744,11692
721743,11692
721742,11692
721741,11692
721740,11692
721738,17134
721737,3681
721736,11692
721735,17134
721734,17134
721733,2044
721732,17134
721731,11692
721730,17134
721729,17134
721728,17134
721727,17134
721726,3681
721725,17134
721724,11692
721723,11692
721722,11692
721721,17134
721720,2044
721719,17134
721718,17134
721717,30206
721716,11692
721715,17134
721714,17134
721713,17134
721712,17134
721710,30206
721708,17134
721707,17134
721706,17134
721705,17134
721704,17134
721703,17134
721702,17134
721700,17134
721699,11692
721698,17134
721697,17134
721696,7031
721695,11692
721694,11692
721693,17134
721692,11692
721691,17134
721690,11692
721689,17134
721688,2044
721687,2044
721686,11692
721685,17134
721684,11692
721683,11692
721681,11692
721680,17134
721679,871
721678,3681
721677,17134
721676,2044
721675,25206
721673,11692
721672,11692
721671,11692
721670,2044
721668,17134
721667,17134
721666,11692
721663,7031
721659,11692
721657,17134
721656,17134
721654,17134
721653,11692
721652,17134
721651,17134
721649,17134
721648,17134
721645,2044
721644,7031
721643,17134
721640,17134
721639,17134
721638,5376
721637,64703
721636,17134
721634,3681
721633,17134
721632,17134
721631,11692
721630,30206
721629,3681
721626,7031
721623,17134
721622,17134
721621,17134
721617,17134
721616,17134
721615,3681
721614,17134
721613,17134
721612,17134
721611,3681
721605,11692
721601,17134
721600,2044
721599,17134
721598,11692
721597,11692
721596,17134
721595,17134
721594,17134
721593,17134
721592,17134
721590,17134
721589,11692
721588,11692
721587,11692
721585,17134
721584,11692
721583,17134
721581,17134
721580,17134
721576,11692
721575,17134
721569,11692
721568,11692
721567,11692
721566,17134
721565,11692
721564,11692
721562,17134
721561,871
721560,5376
721559,11692
721558,30206
721556,17134
721555,3681
721553,3681
721550,3681
721549,11692
721548,17134
721546,11692
721545,17134
721543,2044
721542,11692
721541,17134
721540,17134
721539,17134
721538,11692
721537,11692
721536,11692
721535,3681
721534,17134
721533,11692
721531,17134
721530,3681
721529,2044
721528,3681
721525,871
721523,2044
721521,7031
721519,871
721518,3681
721517,2044
721516,7031
721514,11692
721513,7031
721509,11692
721508,11692
721506,17134
721505,11692
721504,11692
721503,11692
721502,17134
721501,30206
721500,17134
721499,17134
721498,17134
721497,7031
721496,11692
721495,17134
721494,11692
721491,17134
721490,17134
721489,17134
721488,17134
721487,7031
721486,11692
721485,11692
721484,11692
721483,17134
721482,11692
721481,17134
721480,11692
721479,3681
721478,2044
721477,64703
721475,17134
721474,17134
721473,64703
721472,17134
721471,5376
721470,17134
721469,11692
721468,17134
721466,11692
721465,17134
721464,17134
721463,17134
721462,17134
721461,17134
721460,17134
721459,17134
721458,3681
721457,17134
721456,17134
721454,17134
721453,11692
721451,17134
721449,30206
721448,11692
721447,11692
721446,11692
721445,32677
721443,5376
721441,17134
721440,11692
721439,871
721438,11692
721437,17134
721436,2044
721435,3681
721433,871
721432,2044
721430,17134
721429,11692
721426,3681
721425,3681
721423,3681
721422,2044
721421,2044
721420,871
721419,11692
721418,11692
721417,17134
721416,17134
721415,17134
721414,17134
721413,11692
721411,11692
721409,11692
721408,3681
721407,3681
721406,11692
721405,17134
721404,3681
721403,17134
721402,17134
721401,17134
721396,11692
721395,871
721394,30206
721393,11692
721392,11692
721391,3681
721389,17134
721388,7031
721387,11692
721386,2044
721385,3681
721384,3681
721382,5376
721380,11692
721378,11692
721377,3681
721375,3681
721374,2044
721372,11692
721371,17134
721370,3681
721369,17134
721368,17134
721367,11692
721366,871
721365,871
721364,17134
721363,11692
721362,11692
721359,11692
721357,11692
721356,11692
721355,17134
721354,3681
721352,11692
721351,11692
721350,11692
721349,17134
721348,17134
721347,17134
721346,17134
721336,5376
721331,5376
721324,7031
721323,17134
721322,32677
721317,17134
721316,17134
721295,11692
721294,17134
721293,871
721292,17134
721290,30206
721288,3681
721287,17134
721286,17134
721284,3681
721282,2044
721281,3681
721280,11692
721279,17134
721278,11692
721277,11692
721276,17134
721275,11692
721274,17134
721273,2044
721272,30206
721271,3681
721270,3681
721269,7031
721268,64703
721267,11692
721266,7031
721264,7031
721263,3681
721262,11692
721260,5376
721259,2044
721258,871
721257,2044
721255,30206
721254,17134
721253,17134
721252,11692
721250,17134
721249,11692
721248,3681
721247,3681
721246,17134
721245,17134
721244,17134
721242,11692
721241,3681
676630,11692
721240,871
721237,17134
721235,5376
721233,17134
721232,17134
721231,17134
721230,17134
721228,2044
721227,17134
721197,17134
721196,11692
721195,11692
721194,871
721192,5376
721190,3681
721188,2044
721186,2044
721184,17134
721183,17134
721182,17134
721181,11692
721180,17134
721179,17134
721178,3681
721177,2044
721173,11692
721172,11692
721171,25206
721171,25206
721170,17134
721169,17134
721166,17134
721165,11692
721163,17134
721162,17134
721161,11692
721159,17134
721158,17134
721157,17134
721155,17134
721154,17134
721153,17134
721152,17134
721151,17134
721147,11692
721146,11692
721145,17134
721144,11692
721143,17134
721142,17134
721137,17134
721136,17134
721122,5376
721120,11692
721119,11692
721118,11692
721116,11692
721115,11692
721114,11692
721113,11692
721112,11692
721111,11692
721110,7031
721109,17134
721075,64703
721074,11692
721073,2044
721072,11692
721071,2044
721070,3681
721069,871
721068,3681
721067,2044
721066,3681
721063,2044
721057,11692
721056,17134
721055,2044
721053,17134
721052,3681
721051,11692
721050,17134
721049,3681
721048,11692
721047,3681
721046,3681
721045,17134
721042,17134
721038,17134
721037,17134
721036,7031
721034,3681
721033,11692
721032,17134
721031,17134
721030,11692
721029,2044
721028,3681
721025,64703
721021,11692
721020,17134
721019,11692
721018,11692
721017,11692
721016,2044
721015,5376
721014,11692
721013,17134
721012,11692
721011,17134
721009,871
721008,2044
721004,11692
721003,871
721001,2044
721000,11692
720999,3681
720998,11692
720995,11692
720994,11692
720993,2044
720992,3681
720991,871
720987,11692
720986,11692
720984,17134
720982,17134
720981,11692
676627,17134
720978,2044
720977,2044
720975,11692
720974,11692
720973,7031
720971,871
720969,5376
720963,2044
720962,2044
720959,871
720958,3681
720957,11692
720953,3681
720952,17134
720951,5376
720948,17134
720947,871
720946,11692
720944,3681
720943,5376
720942,5376
720941,11692
720940,17134
720938,11692
720937,11692
720935,5376
720931,17134
720928,11692
720927,11692
720926,17134
720925,11692
